"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Experimental Verification on Human-Centric Network-Based Resource Allocation Approaches for Process-Aware Information Systems","M. -S. Yeon; Y. -K. Lee; D. -L. Pham; K. P. Kim","Department of Computer Science and Engineering, Kyunghee University, Yongin-si, South Korea; Department of Computer Engineering, College of Electronics and Information, Kyunghee University, Yongin-si, South Korea; Data and Process Engineering Research Laboratory, Division of AI Computer, Kyonggi University, Youngtong-gu, Suwon, Republic of Korea; Data and Process Engineering Research Laboratory, Division of AI Computer, Kyonggi University, Youngtong-gu, Suwon, Republic of Korea","IEEE Access","7 Mar 2022","2022","10","","23342","23354","Efficient allocating human resource obtains significant advantages to business operations in enterprises. Manipulating the available human resources of a business optimizes the expense of developing products and services, improves work productivity, and brings more value to the business. In the process of creating products and benefits in the enterprise, a network of working relationships is formed among employees in the organization. In this paper, we propose an approach to support decision-making on human resource allocation in an organization based on the human-centric network discovered from the event logs. To be more precise, the knowledge derived from human-centric networks formed through the operation phases of the information systems is used to make resource allocation strategies in the organizations. Using the appropriateness probabilities and social network metrics for allocating human resources, we clarify efficiently allocating resources based on different metrics. The system architecture and the scenarios are also described for planning human resources allocation based on these networks. Furthermore, we use real-life data set for getting experimental verification and proving the proposal. This approach will be a promising solution to support businesses effectively allocating resources in their organizations.","2169-3536","","10.1109/ACCESS.2022.3152778","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9717243","Human-centric network;human resources allocation;business process management;process mining;process-aware information system","Resource management;Organizations;Data mining;Information systems;Standards organizations;Bipartite graph;Task analysis","business data processing;decision making;human resource management;information systems;resource allocation;social networking (online)","experimental verification;human-centric network-based resource allocation approaches;process-aware information systems;efficient allocating human resource;business operations;enterprise;available human resources;work productivity;human resource allocation;resource allocation strategies;organizations;social network metrics;human resources allocation","","1","","42","CCBY","18 Feb 2022","","","IEEE","IEEE Journals"
"Human Resource Intelligent Scheduling Algorithm Based on Decision Tree Algorithm","N. Feng","Yinchuan Institute of Science and Technology, Yinchuan, China","2022 IEEE 2nd International Conference on Mobile Networks and Wireless Communications (ICMNWC)","7 Feb 2023","2022","","","1","4","With the development of the global network economy, competition in the global market has become increasingly fierce, the scale and number of commercial projects have continued to grow, and the requirements for human resource planning and management have become higher and higher. Traditional human resource management methods are often based on the personal subjective experience of managers, which is easy to make mistakes. Moreover, with the use of database technology and related computer technology in it, the amount of data in enterprises has increased sharply. Finding the information needed by the enterprise in the data information is related to the success or failure of the operation of the enterprise. At this time, the decision tree application based on data mining can analyze and process the data, and provide a basis for the management of human resources scheduling. The purpose of this article is to study the human resource intelligent scheduling algorithm based on the decision tree algorithm, analyze the decision tree algorithm in detail, find the core problem of the decision tree algorithm, integrate human market resources, and solve the key problems in modern human resource management. It provides a reference for the decision tree algorithm in human resource intelligent scheduling. Experiments show that the human resource scheduling based on the decision tree algorithm significantly shortens the cycle project, up to 27.5%. It greatly saves the time spent on human resource scheduling, which meets the expectations of the experiment.","","978-1-6654-9111-2","10.1109/ICMNWC56175.2022.10031690","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10031690","decision tree algorithm;human resource management;scheduling algorithm;data mining","Wireless communication;Economics;Scheduling algorithms;Decision making;Globalization;Scheduling;Planning","data mining;decision trees;globalisation;human resource management;scheduling","computer technology;data mining;database technology;decision tree algorithm;global market;global network economy;human market resources;human resource intelligent scheduling algorithm;human resource management","","","","12","IEEE","7 Feb 2023","","","IEEE","IEEE Conferences"
"Applications of Artificial Intelligence for Optimization of Business Processes in Enterprise Resource Planning Systems","K. Anguelov","Management and Business Information Systems Department, Technical University of Sofia, Sofia, Bulgaria","2021 12th National Conference with International Participation (ELECTRONICA)","19 Aug 2021","2021","","","1","4","This paper outlines the main opportunities for implementing the methods and developed ICT solutions of an artificial intelligence (AI) in the field of Enterprise Resource Planning Systems. The author explores different possible implementations of AI in the ERP such as: process of Implementation of ERP; Customer relationship management; Supply Chain Management; Production; Product Lifecycle Management; Human Resources; Financial Management, etc.","","978-1-6654-4061-5","10.1109/ELECTRONICA52725.2021.9513677","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9513677","Enterprise Resource Planning System;Artificial Inteligence","Product lifecycle management;Supply chain management;Customer relationship management;Production;Financial management;Enterprise resource planning;Artificial intelligence","artificial intelligence;business data processing;enterprise resource planning","enterprise resource planning systems;ICT solutions;artificial intelligence;ERP;human resources;business processes;customer relationship management;supply chain management;product lifecycle management;financial management","","8","","7","IEEE","19 Aug 2021","","","IEEE","IEEE Conferences"
"Human Resource Allocation to the Credit Requirement Process, A Process Mining Approach","O. M. Ebadati; M. Mehrabioun; S. Hosesini","Department of Operation and Information Technology, Kharazmi University, Tehran, Iran; Department of Operation and Information Technology, Kharazmi University, Tehran, Iran; Department of Operation and Information Technology, Kharazmi University, Tehran, Iran","2022 13th International Conference on Information and Knowledge Technology (IKT)","14 Feb 2023","2022","","","1","7","In the banking industry, process mining has been used in different case studies with promising results. Process execution efficiency can be improved by correctly allocating human resources, which also increases the revenue and satisfaction of clients in organizations. To gain access to these approaches among the resources, banks are trying to streamline their processes. For this reason, it is essential to take into consideration the prerequisites for an accurate view of the sessions. Nevertheless, few works have tended to process mining as it is connected to the banking industry. This work presents a new approach to solving human resource allocation problems in the credit requirement processes that combines process mining, statistical techniques, and the Theory of Constraint (TOC) method. The statistical techniques are used to build a simulation model. Moreover, to obtain more reliable results from the simulation, in this study, four scenarios are designed to simulate reality. By using it, the bottleneck in the process can be identified. At the end, TOC techniques have been used to tackle the identified bottleneck. This study suggests a combination of resources and activity within fewer iterations compared to the literature and proposes an online process to collect documents which is a second stage of the credit requirement process to overcome the existing bottleneck.","","979-8-3503-2062-6","10.1109/IKT57960.2022.10039030","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10039030","Business Process Management;Banking Industry;Metaheuristic Algorithm;Process Mining;Credit Requirement","Industries;Analytical models;System dynamics;Statistical analysis;Banking;System improvement;Reliability theory","bank data processing;computer simulation;data mining;resource allocation;statistical analysis","banking industry;credit requirement process;human resource allocation problems;online process;process execution efficiency;process mining approach;simulation model;statistical techniques;Theory of Constraint method;TOC techniques","","","","19","IEEE","14 Feb 2023","","","IEEE","IEEE Conferences"
"Optimization of Neural Network and Data Mining Technology in Human Resource Model","H. Song","Wuhan University of Technology, Wuhan, China","2022 6th Annual International Conference on Data Science and Business Analytics (ICDSBA)","23 May 2023","2022","","","51","57","With the continuous progress of science and technology, many enterprises currently use information technology to optimize human resources. Data mining technology can collect and mine information in data, and neural network and deep learning technology can process, extract and predict data. This paper proposes a human resource model based on neural network technology and data mining technology, and optimizes the regression algorithm in human resource management. This paper selects the professional title, gender, education, and age in the sample as independent variables for verification. The results show that The model can predict the future development of enterprise human resources.","2831-5944","978-1-6654-5450-6","10.1109/ICDSBA57203.2022.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10129447","Data mining;human resources;multiple regression analysis;neural network;management optimization","Neural networks;Education;Predictive models;Prediction algorithms;Data models;Mathematical models;Data mining","data mining;deep learning (artificial intelligence);human resource management;regression analysis","data mining technology;deep learning technology;enterprise human resources;human resource management;human resource model;information technology;neural network technology","","","","11","IEEE","23 May 2023","","","IEEE","IEEE Conferences"
"Construction of Intelligent Human Resource Management Information System Based on Python and Tree Node Mining","W. Ma","Northwest Normal University, Lanzhou, China","2021 5th International Conference on Electronics, Communication and Aerospace Technology (ICECA)","20 Jan 2022","2021","","","1571","1574","This article takes Python and binary tree as the entry point, based on the traditional human resource management information system, and conducts in-depth analysis and research on the construction of human resource management information system from the perspective of tree node mining, and analyzes the dynamics of intelligent systems based on Python Sexual needs are analyzed in detail. The research results of this article will propose a new idea to analyze and practice human resource management information systems from the perspective of management and knowledge transformation: when standardized business processes of human resource management information systems are implemented in a company, System results show that the tree node has increased by 7.6%","","978-1-6654-3524-6","10.1109/ICECA52323.2021.9675873","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9675873","Human Resource;Information System;Intelligent Management;Tree Node Mining","Shape;Transforms;Companies;Binary trees;Dynamic scheduling;Resource management;Human resource management","data mining;human resource management;management information systems;organisational aspects;Python","intelligent human resource management information System;Python method;tree node mining;traditional human resource management information system;knowledge transformation;standardized business processes;company","","","","24","IEEE","20 Jan 2022","","","IEEE","IEEE Conferences"
"The Segmentation and Reconstruction Method of Business Process BPMN under Constraint Conditions","S. Qin; Z. Zhao; J. Su; Z. Yang","Beijing Key Laboratory on Integration and Analysis of Largecale Stream Data, North China University of Technology, Beijing, China; Beijing Key Laboratory on Integration and Analysis of Largecale Stream Data, North China University of Technology, Beijing, China; Exploration and Development Reserch Institute of PetroChina Changqing Oilfield Company, Xi’an,Shanxi, China; Beijing Key Laboratory on Integration and Analysis of Largecale Stream Data, North China University of Technology, Beijing, China","2021 International Conference on Service Science (ICSS)","26 Jul 2021","2021","","","45","50","Business process model and notation BPMN2.0 is an industry standard in the field of business process management. In order not to destroy the association rules between the various tasks of the business process, and to schedule them in the cloud edge environment, improve the service quality of the business process, this paper proposes a method of segmentation and reconstruction of the BPMN2.0 model, based on the BMPN2.0 model of the original business process and its constraints of the cloud-edge environment, the original business process is divided and reconstructed into multiple sub-business processes, so that the reconstructed sub-business process conforms to the BPMN2.0 modeling standard and is actually usable, providing basis for the scheduling of business processes in the cloud-edge environment. Through example verification and experimental analysis, the effectiveness of the segmentation reconstruction method in this paper is verified.","","978-1-6654-4045-5","10.1109/ICSS53362.2021.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9492211","Cloud-edge environment;Service Science;business process modeling;BPMN2.0 reconstruction","Industries;Schedules;Job shop scheduling;Reconstruction algorithms;Task analysis;Standards;Business","business data processing;cloud computing;data mining","constraint conditions;service quality;association rules;BPMN 2.0 modeling standard;multiple sub-business processes;business process management;business process BPMN;segmentation reconstruction method;cloud-edge environment","","","","10","IEEE","26 Jul 2021","","","IEEE","IEEE Conferences"
"Business process modeling extension and scheduling strategy compatible with big data business","J. Xu; M. Qi","Cloud Computing Research Center, North China University of Technology, Beijing, China; Cloud Computing Research Center, North China University of Technology, Beijing, China","2023 IEEE International Conference on Control, Electronics and Computer Technology (ICCECT)","6 Jun 2023","2023","","","827","831","Business Process Management (BPM) is the factual criteria for business process modeling. Although it is widely used in various fields, when required When using business processes to express big data business processes, the existing business process specifications do not support it. Big data business can only be simulated as multiple manual tasks before execution, which is not friendly to non-big data technology practitioners, and will The non-standardized business process and poor reusability lead to a reduction in the efficiency of business completion. On the other hand, while supporting big data technology brings flexibility to BPM, it consumes a lot of process engine resources when executing big data business processes, and the execution efficiency is low, which brings greater burden to the process engine. Aiming at the above deficiencies, this paper carries out the following work: (1) Extend the existing business process modeling, and define a new category of "" Big Data Service Task"" by extending the activity elements in BPMN2.0 (2) Propose a compatible big data technology The task scheduling strategy in the business process includes a single big data task scheduling decision and an intensive big data task scheduling decision.","","979-8-3503-9902-8","10.1109/ICCECT57938.2023.10141025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10141025","BPMN;Big Data;Business Process Management;Workflow scheduling","Process modeling;Processor scheduling;Process control;Manuals;Big Data;Resource management;Task analysis","Big Data;business data processing","Big Data business processes;Big Data service task;Big Data task scheduling decision;BPM;business process management;business process modeling;nonbig data technology;process engine resources","","","","15","IEEE","6 Jun 2023","","","IEEE","IEEE Conferences"
"Optimization of Edge Delay Sensitive Task Scheduling Based on Genetic Algorithm","J. He","School of Software Engineering Chengdu University of Information Technology, Chengdu, China","2022 International Conference on Algorithms, Data Mining, and Information Technology (ADMIT)","16 Dec 2022","2022","","","155","159","Task scheduling is a key issue in the edge computing environment, and the goal is to provide optimal task allocation among resources. Reasonable decision-making for task scheduling on edge devices with limited resources can greatly improve offloading efficiency and reduce application processing latency. Aiming at the task offloading decision-making problem in the edge computing environment, a network model and a task scheduling model are established, the task scheduling method is defined to reduce the task delay, and an optimization algorithm is proposed to solve the task completion in the edge task scheduling under the delay-sensitive task constraints time optimal solution. The algorithm adopts the Genetic Algorithm (AG), which encodes the tasks generated by edge devices in binary mode, optimizes the selection function, and shortens the task delay. The experimental results show that the algorithm proposed in this paper can effectively reduce the task execution time and delay compared with other strategies.","","978-1-6654-5472-8","10.1109/ADMIT57209.2022.00032","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9974658","Edge task scheduling;offloading decision;genetic algorithm;delay","Processor scheduling;Computational modeling;Decision making;Scheduling;Delays;Servers;Task analysis","decision making;distributed processing;genetic algorithms;resource allocation;scheduling","delay-sensitive task constraints time optimal solution;edge computing environment;edge delay sensitive task scheduling;edge devices;genetic algorithm;optimal task allocation;optimization algorithm;selection function;task completion;task execution time;task offloading decision-making problem","","","","10","IEEE","16 Dec 2022","","","IEEE","IEEE Conferences"
"Optimisation of an Automated User Request Management System Using a Process Approach","O. Y. Cherniaeva; D. M. Loseva","Saint Petersburg Mining University, St. Petersburg, Russia; Saint Petersburg Electrotechnical University ""LETI"", St. Petersburg, Russia","2021 IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering (ElConRus)","9 Apr 2021","2021","","","816","820","In this article, optimisation of an automated system based on the ""Lichniy Cabinet"" (""Personal Account"") IS in Gazprom Pererabotka Ltd using a process approach has been studied. However, the algorithm can be considered universal for a company of any kind. It is demonstrated in the article that in practice a well-functioning, effective and prompt business processes management based on a process approach is capable of compensating for a full description of an enterprise's business processes. However, business processes description is not considered to be an ultimate goal in spite of being an essential stage of many important tasks and projects. Specific and practical applications of the process approach and related methodologies are necessary.","2376-6565","978-1-6654-0476-1","10.1109/ElConRus51938.2021.9396581","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9396581","automation system;IT optimisation;process approach;functional approach","Automation;Conferences;Companies;Task analysis;Optimization;Business","business data processing;information management;information systems","optimisation;automated user request management system;business processes management;business processes description;enterprise business processes;Gazprom Pererabotka Ltd","","","","4","IEEE","9 Apr 2021","","","IEEE","IEEE Conferences"
