"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Experimental Verification on Human-Centric Network-Based Resource Allocation Approaches for Process-Aware Information Systems","M. -S. Yeon; Y. -K. Lee; D. -L. Pham; K. P. Kim","Department of Computer Science and Engineering, Kyunghee University, Yongin-si, South Korea; Department of Computer Engineering, College of Electronics and Information, Kyunghee University, Yongin-si, South Korea; Data and Process Engineering Research Laboratory, Division of AI Computer, Kyonggi University, Youngtong-gu, Suwon, Republic of Korea; Data and Process Engineering Research Laboratory, Division of AI Computer, Kyonggi University, Youngtong-gu, Suwon, Republic of Korea","IEEE Access","7 Mar 2022","2022","10","","23342","23354","Efficient allocating human resource obtains significant advantages to business operations in enterprises. Manipulating the available human resources of a business optimizes the expense of developing products and services, improves work productivity, and brings more value to the business. In the process of creating products and benefits in the enterprise, a network of working relationships is formed among employees in the organization. In this paper, we propose an approach to support decision-making on human resource allocation in an organization based on the human-centric network discovered from the event logs. To be more precise, the knowledge derived from human-centric networks formed through the operation phases of the information systems is used to make resource allocation strategies in the organizations. Using the appropriateness probabilities and social network metrics for allocating human resources, we clarify efficiently allocating resources based on different metrics. The system architecture and the scenarios are also described for planning human resources allocation based on these networks. Furthermore, we use real-life data set for getting experimental verification and proving the proposal. This approach will be a promising solution to support businesses effectively allocating resources in their organizations.","2169-3536","","10.1109/ACCESS.2022.3152778","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9717243","Human-centric network;human resources allocation;business process management;process mining;process-aware information system","Resource management;Organizations;Data mining;Information systems;Standards organizations;Bipartite graph;Task analysis","business data processing;decision making;human resource management;information systems;resource allocation;social networking (online)","experimental verification;human-centric network-based resource allocation approaches;process-aware information systems;efficient allocating human resource;business operations;enterprise;available human resources;work productivity;human resource allocation;resource allocation strategies;organizations;social network metrics;human resources allocation","","1","","42","CCBY","18 Feb 2022","","","IEEE","IEEE Journals"
"Task Allocation Mechanism for Cable Real-Time Online Monitoring Business Based on Edge Computing","S. Shao; Q. Zhang; S. Guo; F. Qi","State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunication, Beijing, China; State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunication, Beijing, China; State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunication, Beijing, China; State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunication, Beijing, China","IEEE Systems Journal","9 Mar 2021","2021","15","1","1344","1355","Edge computing has a promising application prospect in the field of Internet of Things, especially cable real-time online monitoring business in a smart grid. However, for the relatively limited resources and capabilities of the edge nodes, such as computing resource and storage resource, it is hard to highly and comprehensively satisfy the high real-time requirements of cable online monitoring tasks. To solve this problem, effectively dynamic task allocation is needed on the basis of efficient utilization and optimization of resource and capabilities of the edge nodes. In this article, a task allocation mechanism for cable real-time online monitoring business based on edge computing is proposed. First, considering the linear distribution characteristics of the cable, the statuses of edge nodes, the processing overhead of tasks, and the scheduling strategy of delay-sensitive tasks, we establish a task allocation model based on edge computing. Second, a task allocation strategy based on improved discrete particle swarm optimization is proposed. In our strategy, we focus on the task queuing problem in edge nodes and the optimized task allocation problem among edge nodes. Simulation results show that the task allocation mechanism proposed in this article can effectively reduce the average delay of cable real-time online monitoring businesses, and further improve the security and reliability of the smart grid.","1937-9234","","10.1109/JSYST.2020.2988266","Natural Science Foundation of Beijing Municipality; Research on Adaptive Fault Recovery Mechanism for Electric Power IoT(grant numbers:4194085); Fundamental Research Funds for the Central Universities(grant numbers:2019RC08); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9090353","Cable real-time online monitoring;edge computing;particle swarm optimization;task allocation;task queuing","Task analysis;Resource management;Edge computing;Monitoring;Real-time systems;Power cables","distributed processing;Internet of Things;particle swarm optimisation;power cables;power engineering computing;power generation reliability;power generation scheduling;power system security;smart power grids","system reliability;system security;scheduling strategy;processing overhead;linear distribution characteristics;discrete particle swarm optimization;cable online monitoring tasks;smart grid;Internet of Things;cable real-time online monitoring business;optimized task allocation problem;task queuing problem;delay-sensitive tasks;dynamic task allocation;edge nodes;edge computing;task allocation mechanism","","3","","37","IEEE","8 May 2020","","","IEEE","IEEE Journals"
"Optimizing Resource Allocation Based on Predictive Process Monitoring","G. Park; M. Song","Department of Industrial and Management Engineering, Pohang University of Science and Technology (POSTECH), Pohang, Nam-gu, South Korea; Department of Industrial and Management Engineering, Pohang University of Science and Technology (POSTECH), Pohang, Nam-gu, South Korea","IEEE Access","24 Apr 2023","2023","11","","38309","38323","Recent breakthroughs in predictive business process monitoring equip process analysts with predictions on running process instances, supporting the elicitation of proactive measures to mitigate risks that can be caused by the process instance. However, contrary to active research on providing various predictions and improving the accuracy of prediction models, the practical application of such predictions has been left to the subjective judgment of domain experts. In this work, we explore the exploitation of the insights from predictive information for the actual process improvement in practice. Concretely, we focus on improving resource allocation in business processes where the goal is to allocate appropriate resources to tasks at the proper time. Based on design science methodology, we develop a two-phase method to improve resource allocation by leveraging predictions. Based on the method, we instantiate an algorithm to optimize total-weighted completion time and evaluate its effectiveness and efficiency. From an academic standpoint, our work demonstrates the combination of predictions using machine learning and optimizations based on scheduling. From a practical standpoint, our work provides a general approach to optimize resource allocations for different objectives using predictions.","2169-3536","","10.1109/ACCESS.2023.3267538","National Research Foundation of Korea (NRF) funded by the Korean Government [Ministry of Science and ICT (MSIT)](grant numbers:2021R1A2C3012292); Pohang Iron & Steel Company (POSCO), South Korea, under the Institute of Process Engineering (IPE) through the Joint Research on Smart Solution (JRSS) and Steel Science Project; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10103533","Resource allocation;online operational support;process improvement;Bayesian neural network;minimum cost and maximum flow algorithm","Resource management;Business;Predictive models;Process monitoring;Neural networks;Task analysis;Computational modeling;Bayes methods","business data processing;learning (artificial intelligence);optimisation;process monitoring;resource allocation","active research;actual process improvement;appropriate resources;business processes;leveraging predictions;prediction models;predictive business process;predictive information;predictive process monitoring;process analysts;process instance;resource allocation","","","","48","CCBYNCND","17 Apr 2023","","","IEEE","IEEE Journals"
"Business Workflow Optimization Through Process Model Redesign","A. Kumar; R. Liu","Smeal College of Business, Penn State University, State College, PA, USA; School of Business, Stevens Institute of Technology, Hoboken, NJ, USA","IEEE Transactions on Engineering Management","3 Nov 2022","2022","69","6","3068","3084","Business process redesign has garnered much interest because such processes must be continuously improved to realize greater efficiency in the midst of evolving changes in work practices, environment, and technology. This helps a business to stay competitive. A process model may be redesigned by a rearrangement of various activities as per best practices to satisfy predefined business rules and constraints for a specific objective. This objective is stated in terms of functional goals like desired or acceptable process behavior, and nonfunctional goals such as cost, time, quality of service, and flexibility. Thus, many potential improvement possibilities that emerge through restructuring can be explored. When many such alternatives exist, there is a need for a formal methodology for evaluating these designs on various metrics to gain a deeper understanding of the tradeoffs involved. In this article, we describe a novel, formal methodology for optimizing the cost-benefit considerations within a space of possible redesigns to develop a cost vs. time efficient frontier. We also illustrate our approach with two case studies, one based on a large, real dataset, and describe a proposal for implementing it. Several managerial insights emerge from our work.","1558-0040","","10.1109/TEM.2020.3028040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9241415","Business process management;mixed integer programming;process redesign;redesign matrix;workflow optimization","Task analysis;Optimization;Best practices","business process re-engineering;formal specification;optimisation;software engineering;workflow management software","acceptable process behavior;business process redesign;business workflow optimization;cost-benefit considerations;desired process behavior;formal methodology;functional goals;improvement possibilities;nonfunctional goals;predefined business rules;process model redesign;specific objective;time efficient frontier;work practices","","1","","51","IEEE","27 Oct 2020","","","IEEE","IEEE Journals"
"ViePEP-C: A Container-Based Elastic Process Platform","P. Waibel; C. Hochreiner; S. Schulte; A. Koschmider; J. Mendling","Distributed Systems Group, TU Wien, Wien, Austria; Distributed Systems Group, TU Wien, Wien, Austria; Distributed Systems Group, TU Wien, Wien, Austria; Institute of Applied Informatics and Formal Description Methods, Karlsruhe Institute of Technology, Karlsruhe, Germany; Institute for Information Business, WU Wien, Wien, Austria","IEEE Transactions on Cloud Computing","3 Dec 2021","2021","9","4","1657","1674","Business Process Management Systems (BPMS) need to be able to take into account the fluctuating demand for computational resources during the execution of business process activities. Today, BPMS rely on the leasing and releasing of virtual machines (VMs) on cloud resources, which leads to a rather coarse-grained allocation of computational resources. This may result in an increase in the execution cost, flexibility restrictions, and a negative impact on the Quality of Service. In order to overcome these drawbacks, we introduce the Vienna Platform for Elastic Processes on Containers (ViePEP-C). ViePEP-C is an elastic BPMS that uses containers instead of VMs for the execution of business process activities on cloud resources, leading to a more fine-grained execution environment. To achieve this, ViePEP-C offers cloud controller, monitoring and business process execution functionalities and provides a platform for different resource and task scheduling algorithms. To evaluate the benefits of ViePEP-C, we further present a resource and task scheduling algorithm and show that, by using containers as execution environment, the execution cost can be decreased by over 20 percent (compared to a state-of-the-art VM-based scheduling algorithm) while considering a high service level.","2168-7161","","10.1109/TCC.2019.2912613","Austrian Research Promotion Agency(grant numbers:854187); FFG(grant numbers:866270); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8695740","Cloud computing;containers;elastic processes;business process management","Containers;Cloud computing;Manufacturing processes;Business process management","business data processing;cloud computing;resource allocation;scheduling;virtual machines","business process management systems;fluctuating demand;computational resources;cloud resources;coarse-grained allocation;elastic BPMS;fine-grained execution environment;business process execution functionalities;task scheduling algorithm;VM-based scheduling algorithm;Vienna platform;ViePEP-C;container-based elastic process platform","","7","","56","IEEE","23 Apr 2019","","","IEEE","IEEE Journals"
"Edge-Enabled Two-Stage Scheduling Based on Deep Reinforcement Learning for Internet of Everything","X. Zhou; W. Liang; K. Yan; W. Li; K. I. -K. Wang; J. Ma; Q. Jin","Faculty of Data Science, Shiga University, Hikone, Japan; Base of International Science and Technology Innovation and Cooperation on Big Data Technology and Management, Hunan University of Technology and Business, Changsha, China; College of Design and Engineering, National University of Singapore, Singapore; School of Computer Engineering and Science, Shanghai University, Shanghai, China; Department of Electrical, Computer Software Engineering, The University of Auckland, Auckland, New Zealand; Faculty of Computer and Information Sciences, Hosei University, Tokyo, Japan; Faculty of Human Sciences, Waseda University, Tokorozawa, Japan","IEEE Internet of Things Journal","6 Feb 2023","2023","10","4","3295","3304","Nowadays, the concept of Internet of Everything (IoE) is becoming a hotly discussed topic, which is playing an increasingly indispensable role in modern intelligent applications. These applications are known for their real-time requirements under limited network and computing resources, thus it becomes a highly demanding task to transform and compute tremendous amount of raw data in a cloud center. The edge–cloud computing infrastructure allows a large amount of data to be processed on nearby edge nodes and then only the extracted and encrypted key features are transmitted to the data center. This offers the potential to achieve an end–edge–cloud-based big data intelligence for IoE in a typical two-stage data processing scheme, while satisfying a data security constraint. In this study, a deep-reinforcement-learning-enhanced two-stage scheduling (DRL-TSS) model is proposed to address the NP-hard problem in terms of operation complexity in end–edge–cloud Internet of Things systems, which is able to allocate computing resources within an edge-enabled infrastructure to ensure computing task to be completed with minimum cost. A presorting scheme based on Johnson’s rule is developed and applied to preprocess the two-stage tasks on multiple executors, and a DRL mechanism is developed to minimize the overall makespan based on a newly designed instant reward that takes into account the maximal utilization of each executor in edge-enabled two-stage scheduling. The performance of our method is evaluated and compared with three existing scheduling techniques, and experimental results demonstrate the ability of our proposed algorithm in achieving better learning efficiency and scheduling performance with a 1.1-approximation to the targeted optimal IoE applications.","2327-4662","","10.1109/JIOT.2022.3179231","National Key Research and Development Program of China(grant numbers:2019YFB1705200); National Natural Science Foundation of China(grant numbers:62072171,72091515); Key Research and Development Program of Hunan Province of China(grant numbers:2020SK2089); Open Fund of Key Laboratory of Hunan Province(grant numbers:2017TP1026); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9785600","Deep reinforcement learning;edge computing;Internet of Everything (IoE);makespan;two-stage scheduling","Task analysis;Internet of Things;Processor scheduling;Reinforcement learning;Scheduling;Job shop scheduling;Optimal scheduling","Big Data;cloud computing;computational complexity;deep learning (artificial intelligence);Internet of Things;learning (artificial intelligence);optimisation;reinforcement learning;resource allocation;scheduling","cloud center;computing resources;computing task;data center;data security constraint;deep reinforcement;deep-reinforcement-learning-enhanced;edge-cloud computing infrastructure;edge-enabled infrastructure;edge-enabled two-stage scheduling;end-edge-cloud Internet;end-edge-cloud-based big data intelligence;existing scheduling techniques;extracted encrypted key features;highly demanding task;hotly discussed topic;increasingly indispensable role;learning efficiency;modern intelligent applications;nearby edge nodes;raw data;scheduling performance;targeted optimal IoE applications;two-stage data processing scheme;two-stage tasks","","14","","31","CCBY","30 May 2022","","","IEEE","IEEE Journals"
"Modeling and Simulating a Process Mining-Influenced Load-Balancer for the Hybrid Cloud","K. K. Azumah; P. R. M. Maciel; L. T. Sørensen; S. Kosta","Department of Electronic Systems, CMI, Aalborg University, Copenhagen, Denmark; Center for Informatics, Federal University of Pernambuco, Recife, Brazil; Department of Electronic Systems, CMI, Aalborg University, Copenhagen, Denmark; Department of Electronic Systems, CMI, Aalborg University, Copenhagen, Denmark","IEEE Transactions on Cloud Computing","6 Jun 2023","2023","11","2","1999","2010","The hybrid cloud inherits the best aspects of both the public and private clouds. One such benefit is maintaining control of data processing in a private cloud whilst having nearly elastic resource availability in the public cloud. However, the public and private cloud combination introduces complexities such as incompatible security and control mechanisms, among others. The result is a reduced consistency of data processing and control policies in the different cloud deployment models. Cloud load-balancing is one control mechanism for routing applications to appropriate processing servers in compliance with the policies of the adopting organization. This article presents a process-mining influenced load-balancer for routing applications and data according to dynamically defined business rules. We use a high-level Colored Petri Net (CPN) to derive a model for the process mining-influenced load-balancer and validate the model employing live data from a selected hospital.","2168-7161","","10.1109/TCC.2022.3177668","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9781255","Hybrid cloud;process mining;load balancing;event monitoring;Colored Petri Net","Cloud computing;Task analysis;Business;Load modeling;Sensitivity;Scheduling;Monitoring","cloud computing;data mining;Petri nets;resource allocation","cloud load-balancing;control mechanism;control policies;data processing;different cloud deployment models;hybrid cloud;private cloud;process mining-influenced load-balancer;process-mining influenced load-balancer;processing servers;public cloud","","","","38","IEEE","24 May 2022","","","IEEE","IEEE Journals"
"Task Offloading and Resource Allocation Mechanism of Moving Edge Computing in Mining Environment","Y. Meng; J. Li","College of Electrical and Information Engineering, Anhui University of Science and Technology, Huainan, China; College of Electrical and Information Engineering, Anhui University of Science and Technology, Huainan, China","IEEE Access","25 Nov 2021","2021","9","","155534","155542","The mine improves the response speed of the IoT control system by sinking computing services into the MEC Server. In this case, computing resources are scattered and it is difficult to cope with the changing computing requirements of mobile terminal devices. To solve this problem, we optimize from the supply side by build P.M.R (problem of maximum revenue) problem. In P.M.R, we comprehensively consider the air rate of wireless communication, network delay, computing resource demand and other factors that affect the offloading task of terminals. To obtain the relative optimal solution of P.M.R, we construct a task unloading algorithm based on particle swarm optimization. And we set up a simulation experiment environment according to the mine network parameters. The experimental results show that this task unloading algorithm can effectively improve the efficiency of computing facilities in the system and achieve load balancing.","2169-3536","","10.1109/ACCESS.2021.3129464","National Natural Science Foundation of China(grant numbers:51874010); Key Technology Research and Innovation Team Project(grant numbers:201950ZX003); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9622272","MEC;task offloading;resource allocation;coal mine","Wireless communication;Coal mining;Task analysis;Servers;Resource management;Edge computing;Computational modeling","cloud computing;Internet of Things;mining;particle swarm optimisation;resource allocation","mobile terminal devices;maximum revenue;air rate;wireless communication;network delay;resource demand;offloading task;task unloading algorithm;particle swarm optimization;mine network parameters;task offloading;resource allocation mechanism;edge computing;mining environment;response speed;IoT control system;computing services;MEC Server","","2","","23","CCBY","19 Nov 2021","","","IEEE","IEEE Journals"
"Measuring Business Process Behavioral Similarity Based on Token Log Profile","F. Niu; C. Li; J. Ge; L. Wen; Z. Li; B. Luo","State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu, China; Software Institute, Tsinghua University, Beijing, China; School of Computer Science and Technology, Hangzhou Dianzi University, Hangzhou, Zhejiang, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu, China","IEEE Transactions on Services Computing","14 Dec 2022","2022","15","6","3344","3357","Measuring business process similarity plays an important role in the analysis, management and optimization of business in big companies. In the early days, experts paid major attention to calculating business similarity according to corresponding process models. However, models only express ideal behavior of business processes without any undesired or unexpected business routines. In order to fully model business behavior, some researchers use system logs in similarity measuring. But previous system-logs-based similarity measurements have limitations on: (1) satisfaction of algorithm properties, (2) distribution of similarity values, and (3) complexity of algorithm. In this article, we take the advantages of token logs in process behavioral similarity measuring. Firstly, the Token Log Profile, modeled with a relation matrix, is defined as an abstraction of the initial token logs. Then, similarity between business processes is calculated based on their Token Log Profiles according to the proposed algorithm. Besides, we extend the properties that similarity algorithms should satisfy for evaluating the proposed algorithm. The experimental and analytical results show that our algorithm achieves very promising accuracy and efficiency while satisfying all the proposed properties compared with state-of-the-art algorithms.","1939-1374","","10.1109/TSC.2021.3104898","National Natural Science Foundation of China(grant numbers:61802167,61802095); Natural Science Foundation of Jiangsu Province(grant numbers:BK20201250); Open Foundation of State key Laboratory of Networking; Switching Technology Beijing University of Posts and Telecommunications(grant numbers:SKLNST-2019-2-15); Fundamental Research Funds for the Central Universities; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9514474","Business process management;process similarity;process model;token log;token log profile;event log","Business;Task analysis;Companies;Process modeling;Process control;Analytical models;Software algorithms","business data processing;matrix algebra;optimisation","algorithm properties;business behavior;business process behavioral similarity measurement;business similarity calculation;corresponding process models;ideal behavior;initial token logs;previous system-logs-based similarity measurements;relation matrix;similarity values;token log profile;undesired business routines;unexpected business routines","","","","38","IEEE","16 Aug 2021","","","IEEE","IEEE Journals"
"Intelligent Salp Swarm Scheduler With Fitness Based Quasi-Reflection Method for Scientific Workflows in Hybrid Cloud-Fog Environment","N. Rizvi; D. Ramesh; P. C. S. Rao; K. Mondal","Department of Computer Science and Engineering, Indian Institute of Technology (Indian School of Mines) at Dhanbad, Dhanbad, India; Department of Computer Science and Engineering, Indian Institute of Technology (Indian School of Mines) at Dhanbad, Dhanbad, India; Department of Artificial Intelligence and Data Science, Koneru Lakshmaiah Education Foundation, Telangana, Hyderabad, India; Computer Centre, Indian Institute of Technology (Indian School of Mines) at Dhanbad, Dhanbad, India","IEEE Transactions on Automation Science and Engineering","6 Apr 2023","2023","20","2","862","877","The burgeoning volume of data from the IoT applications and intelligent devices processed on the cloud data centers can lead to network congestion and transmission delay. Compared to cloud computing, fog computing focuses on ubiquitous connected heterogeneous devices and addresses the transmission latency by placing the fog nodes at the network edge. Concerning the limited resources of fog nodes enable the computationally intensive tasks to offload on the cloud resources. Scheduling of deadline-constrained workflows with minimum execution cost is challenging due to complex and uncertain computation offloading problems. Therefore, an intelligent fuzzy scheduler is designed to offload tasks characterized with uncertain parameters to the appropriate resources. A new salp swarm algorithm has been exploited to learn and optimize fuzzy task-resource allocation rules. In addition to this, to overcome the shortcomings of the salp swarm algorithm, it is employed with one of the best opposition methods named: Fitness-based quasi-reflection method. The inclusion of the opposition method enhances the proposed ISSS-FQR (Intelligent salp swarm scheduler with the fitness-based quasi-reflection method) approach and improves the learning process. Simulation studies on the benchmark workflows are carried out to demonstrate the efficacy of ISSS-FQR. ISSS-FQR has been compared with the classical algorithms, including chemical reaction optimization and ant colony optimization algorithms for workflow scheduling problems (CR-AC), Cost-Makespan aware scheduling (Deadline-based CMaS), and Directional and non-local convergent particle swarm optimization (DNCPSO). From the analyzed result, ISSS-FQR outperforms the rest of the classical algorithms, which proves the effectiveness of ISSS-FQR. Note to Practitioners—This paper provides a novel method called ISSS-FQR for minimizing the cost of execution of IoT applications while satisfying the deadline constraint. An intelligent fuzzy scheduler is designed to offload tasks characterized with uncertain parameters to the appropriate resources. The ISSS-FQR combines the Salp Swarm Algorithm and the OBL method named FQR to learn the task-resource allocation rules. It is compared with three state-of-the-art algorithms called CR-AC, Deadline-based CMaS, and DNCPSO. From the analyzed result, it has been observed that ISSS-FQR outperforms the previous algorithms.","1558-3783","","10.1109/TASE.2022.3170549","Indian Institute of Technology (Indian School of Mines), Dhanbad, Government of India; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9769700","Cloud computing;fog computing;fuzzy swarm schedular;makespan;salp swarm algorithm;fitness based quasi-reflection;ISSS-FQR;workflow scheduling","Task analysis;Cloud computing;Costs;Processor scheduling;Scheduling;Internet of Things;Edge computing","ant colony optimisation;cloud computing;computer centres;Internet of Things;learning (artificial intelligence);mobile computing;optimisation;particle swarm optimisation;resource allocation;scheduling;search problems","addresses;ant colony optimization algorithms;appropriate resources;cloud computing;cloud data centers;cloud resources;complex computation offloading problems;computationally intensive tasks;Cost-Makespan aware scheduling;Deadline-based CMaS;deadline-constrained workflows;Fitness based quasireflection method;fog computing;fog nodes;fuzzy task-resource allocation rules;hybrid cloud-fog environment;intelligent devices;intelligent fuzzy scheduler;Intelligent salp swarm scheduler with the fitness-based quasireflection method;IoT applications;ISSS-FQR;opposition method;salp swarm algorithm;ubiquitous connected heterogeneous devices;uncertain computation offloading problems;uncertain parameters;workflow scheduling problems","","1","","37","IEEE","5 May 2022","","","IEEE","IEEE Journals"
